name,frame,lapvar,log_lapvar,hf025,log_hf025,reblur
frame_001840,1840,9.95491259e-03,-4.609689,2.45156855e-02,-3.708442,0.223909
frame_001850,1850,9.46868770e-03,-4.659765,2.41998866e-02,-3.721407,0.240099
frame_001860,1860,1.31608853e-02,-4.330506,1.77243569e-02,-4.032815,0.292756
frame_001890,1890,6.00441825e-03,-5.115260,2.02671356e-02,-3.898755,0.189703
frame_001900,1900,8.09924398e-03,-4.815985,2.01741941e-02,-3.903351,0.198455
frame_001910,1910,1.05894273e-02,-4.547899,1.71602007e-02,-4.065162,0.198742
frame_001920,1920,1.17693972e-02,-4.442253,1.51934357e-02,-4.186892,0.218847
frame_001930,1930,1.28615564e-02,-4.353513,2.50808137e-02,-3.685652,0.213002
frame_001940,1940,1.42901177e-02,-4.248187,2.85368719e-02,-3.556558,0.213418
frame_001960,1960,4.91363462e-03,-5.315741,6.77939772e-03,-4.993867,0.131571
frame_001980,1980,3.47700389e-03,-5.661584,4.41825154e-03,-5.422011,0.115516
frame_001990,1990,1.46940583e-02,-4.220312,2.14521290e-02,-3.841931,0.208319
frame_002000,2000,1.40253603e-02,-4.266888,2.22991285e-02,-3.803208,0.213944
frame_002010,2010,1.73869077e-02,-4.052038,3.25912695e-02,-3.423711,0.224557
frame_002020,2020,7.75980717e-03,-4.858798,1.77005121e-02,-4.034162,0.161849
frame_002040,2040,1.85803324e-02,-3.985652,4.32860479e-02,-3.139925,0.206520
frame_002050,2050,2.05544140e-02,-3.884680,4.94648734e-02,-3.006492,0.214103
frame_002060,2060,1.46381659e-02,-4.224123,3.91951173e-02,-3.239203,0.192122
frame_002070,2070,1.47385746e-02,-4.217287,3.84866378e-02,-3.257444,0.192689
frame_002080,2080,9.55518708e-03,-4.650671,2.55894073e-02,-3.665577,0.177283
frame_002090,2090,1.06424224e-02,-4.542907,2.18239589e-02,-3.824747,0.183010
frame_002110,2110,2.21802108e-02,-3.808555,2.92352026e-02,-3.532382,0.240250
frame_002120,2120,2.35439967e-02,-3.748884,3.05075697e-02,-3.489780,0.250645
frame_002130,2130,1.73403043e-02,-4.054722,2.63507235e-02,-3.636260,0.229725
frame_002140,2140,1.08730178e-02,-4.521471,1.98803555e-02,-3.918023,0.195901
frame_002150,2150,9.10361391e-03,-4.699084,1.99554324e-02,-3.914254,0.182810
frame_002160,2160,7.73169147e-03,-4.862428,1.74192304e-02,-4.050180,0.167156
frame_002170,2170,1.36458483e-02,-4.294320,2.96968080e-02,-3.516716,0.223265
frame_002180,2180,1.18509186e-02,-4.435350,2.62020964e-02,-3.641916,0.212891
frame_002190,2190,1.75790880e-02,-4.041045,3.74810158e-02,-3.283921,0.237918
frame_002200,2200,2.15604063e-02,-3.836897,5.08942212e-02,-2.978006,0.250408
frame_002210,2210,2.48785298e-02,-3.693750,4.99836297e-02,-2.996060,0.260362
frame_002220,2220,2.54261345e-02,-3.671978,4.60920202e-02,-3.077115,0.265536
frame_002230,2230,1.79126803e-02,-4.022246,3.59981240e-02,-3.324288,0.241893
frame_002240,2240,1.17470268e-02,-4.444155,2.47273566e-02,-3.699845,0.206201
frame_002250,2250,2.16334295e-02,-3.833516,4.32000647e-02,-3.141913,0.249061
frame_002260,2260,6.50755735e-03,-5.034791,1.06561510e-02,-4.541618,0.157679
frame_002270,2270,2.52593886e-02,-3.678557,3.51542500e-02,-3.348010,0.261211
frame_002280,2280,2.51795445e-02,-3.681723,3.45496744e-02,-3.365357,0.270190
frame_002290,2290,2.45137103e-02,-3.708523,3.08302117e-02,-3.479260,0.268852
frame_002300,2300,1.23338243e-02,-4.395410,1.38652118e-02,-4.278372,0.210463
frame_002310,2310,2.01666597e-02,-3.903725,1.85546390e-02,-3.987035,0.244243
frame_002320,2320,1.44776301e-02,-4.235151,1.74871181e-02,-4.046291,0.219354
frame_002330,2330,1.20791430e-02,-4.416275,1.92948654e-02,-3.947916,0.204243
frame_002340,2340,1.68345012e-02,-4.084325,3.31772180e-02,-3.405892,0.234813
frame_002350,2350,9.81606450e-03,-4.623735,1.98072869e-02,-3.921705,0.187185
frame_002360,2360,8.59087612e-03,-4.757055,2.44945434e-02,-3.709305,0.178717
frame_002370,2370,1.25242090e-02,-4.380092,4.28713344e-02,-3.149552,0.206900
frame_002380,2380,1.35183157e-02,-4.303710,4.71000940e-02,-3.055480,0.211960
frame_002400,2400,1.47452531e-02,-4.216834,3.69086036e-02,-3.299311,0.216620
frame_002410,2410,8.35051574e-03,-4.785432,1.88667051e-02,-3.970357,0.181162
frame_002420,2420,1.59938540e-02,-4.135551,2.49862066e-02,-3.689431,0.223480
frame_002430,2430,2.43320987e-02,-3.715959,2.68319253e-02,-3.618163,0.250548
frame_002440,2440,2.83798072e-02,-3.562077,2.53331108e-02,-3.675643,0.266334
frame_002450,2450,2.99027935e-02,-3.509803,2.85203421e-02,-3.557138,0.272299
